proc_cd,modifier,description,rate,rate_unit,region_type,region_value
70328,TC,RADEX TEMPOROMANDBLE JT OPN & CLSD MOUTH UNILAT,77.01,1,state,GA
70330,,RADEX TEMPOROMANDBLE JT OPN & CLSD MOUTH BILAT,156.98,1,state,GA
70330,26,RADEX TEMPOROMANDBLE JT OPN & CLSD MOUTH BILAT,33.57,1,state,GA
70330,TC,RADEX TEMPOROMANDBLE JT OPN & CLSD MOUTH BILAT,123.41,1,state,GA
70332,,TEMPOROMANDBLE JT ARTHROGRAPHY RS&I,244.85,1,state,GA
70332,26,TEMPOROMANDBLE JT ARTHROGRAPHY RS&I,75.03,1,state,GA
70332,TC,TEMPOROMANDBLE JT ARTHROGRAPHY RS&I,169.82,1,state,GA
70336,,MRI TEMPOROMANDIBULAR JOINT,804.65,1,state,GA
70336,26,MRI TEMPOROMANDIBULAR JOINT,204.37,1,state,GA
70336,TC,MRI TEMPOROMANDIBULAR JOINT,600.28,1,state,GA
70350,,CEPHALOGRAM ORTHODONTIC,49.37,1,state,GA
70350,26,CEPHALOGRAM ORTHODONTIC,24.68,1,state,GA
70350,TC,CEPHALOGRAM ORTHODONTIC,24.69,1,state,GA
70355,,ORTHOPANTOGRAM,54.3,1,state,GA
70355,26,ORTHOPANTOGRAM,28.63,1,state,GA
70355,TC,ORTHOPANTOGRAM,25.67,1,state,GA
70360,,RADIOLOGIC EXAMINATION NECK SOFT TISSUE,92.81,1,state,GA
70360,26,RADIOLOGIC EXAMINATION NECK SOFT TISSUE,25.67,1,state,GA
70360,TC,RADIOLOGIC EXAMINATION NECK SOFT TISSUE,67.14,1,state,GA
70370,,RADEX PHARYNX/LARX W/FLUOR&/MAGNIFICATION TQ,311.0,1,state,GA
70370,26,RADEX PHARYNX/LARX W/FLUOR&/MAGNIFICATION TQ,44.43,1,state,GA
70370,TC,RADEX PHARYNX/LARX W/FLUOR&/MAGNIFICATION TQ,266.57,1,state,GA
70371,,CPLX DYNAMIC PHARYNGEAL&SP EVAL C/V REC,323.83,1,state,GA
70371,26,CPLX DYNAMIC PHARYNGEAL&SP EVAL C/V REC,121.44,1,state,GA
70371,TC,CPLX DYNAMIC PHARYNGEAL&SP EVAL C/V REC,202.39,1,state,GA
70380,,RADIOLOGIC EXAMINATION SALIVARY GLAND CALCULUS,111.56,1,state,GA
70380,26,RADIOLOGIC EXAMINATION SALIVARY GLAND CALCULUS,23.7,1,state,GA
70380,TC,RADIOLOGIC EXAMINATION SALIVARY GLAND CALCULUS,87.86,1,state,GA
70390,,SIALOGRAPHY RS&I,342.59,1,state,GA
70390,26,SIALOGRAPHY RS&I,52.33,1,state,GA
70390,TC,SIALOGRAPHY RS&I,290.26,1,state,GA
70450,,CT HEAD/BRAIN W/O CONTRAST MATERIAL,321.86,1,state,GA
70450,26,CT HEAD/BRAIN W/O CONTRAST MATERIAL,117.49,1,state,GA
70450,TC,CT HEAD/BRAIN W/O CONTRAST MATERIAL,204.37,1,state,GA
70460,,CT HEAD/BRAIN W/CONTRAST MATERIAL,450.21,1,state,GA
70460,26,CT HEAD/BRAIN W/CONTRAST MATERIAL,156.98,1,state,GA
70460,TC,CT HEAD/BRAIN W/CONTRAST MATERIAL,293.23,1,state,GA
70470,,CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL,527.22,1,state,GA
70470,26,CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL,176.73,1,state,GA
70470,TC,CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL,350.49,1,state,GA
70480,,CT ORBIT SELLA/POST FOSSA/EAR W/O CONTRAST MATRL,482.79,1,state,GA
70480,26,CT ORBIT SELLA/POST FOSSA/EAR W/O CONTRAST MATRL,178.7,1,state,GA
70480,TC,CT ORBIT SELLA/POST FOSSA/EAR W/O CONTRAST MATRL,304.09,1,state,GA
70481,,CT ORBIT SELLA/POST FOSSA/EAR W/CONTRAST MATRL,548.94,1,state,GA
70481,26,CT ORBIT SELLA/POST FOSSA/EAR W/CONTRAST MATRL,156.98,1,state,GA
70481,TC,CT ORBIT SELLA/POST FOSSA/EAR W/CONTRAST MATRL,391.96,1,state,GA
70482,,CT ORBIT SELLA/POST FOSSA/EAR W/O & W/CONTR MATR,640.76,1,state,GA
70482,26,CT ORBIT SELLA/POST FOSSA/EAR W/O & W/CONTR MATR,175.74,1,state,GA
70482,TC,CT ORBIT SELLA/POST FOSSA/EAR W/O & W/CONTR MATR,465.02,1,state,GA
70486,,CT MAXILLOFACIAL W/O CONTRAST MATERIAL,389.0,1,state,GA
70486,26,CT MAXILLOFACIAL W/O CONTRAST MATERIAL,118.48,1,state,GA
70486,TC,CT MAXILLOFACIAL W/O CONTRAST MATERIAL,270.52,1,state,GA
70487,,CT MAXILLOFACIAL W/CONTRAST MATERIAL,462.06,1,state,GA
70487,26,CT MAXILLOFACIAL W/CONTRAST MATERIAL,155.99,1,state,GA
70487,TC,CT MAXILLOFACIAL W/CONTRAST MATERIAL,306.07,1,state,GA
70488,,CT MAXILLOFACIAL W/O & W/CONTRAST MATERIAL,559.8,1,state,GA
70488,26,CT MAXILLOFACIAL W/O & W/CONTRAST MATERIAL,175.74,1,state,GA
70488,TC,CT MAXILLOFACIAL W/O & W/CONTRAST MATERIAL,384.06,1,state,GA
70490,,CT SOFT TISSUE NECK W/O CONTRAST MATERIAL,455.15,1,state,GA
70490,26,CT SOFT TISSUE NECK W/O CONTRAST MATERIAL,177.71,1,state,GA
70490,TC,CT SOFT TISSUE NECK W/O CONTRAST MATERIAL,277.44,1,state,GA
70491,,CT SOFT TISSUE NECK W/CONTRAST MATERIAL,559.8,1,state,GA
70491,26,CT SOFT TISSUE NECK W/CONTRAST MATERIAL,191.54,1,state,GA
70491,TC,CT SOFT TISSUE NECK W/CONTRAST MATERIAL,368.26,1,state,GA
70492,,CT SOFT TISSUE NECK W/O & W/CONTRAST MATERIAL,671.36,1,state,GA
70492,26,CT SOFT TISSUE NECK W/O & W/CONTRAST MATERIAL,223.13,1,state,GA
70492,TC,CT SOFT TISSUE NECK W/O & W/CONTRAST MATERIAL,448.23,1,state,GA
70496,,CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST,838.22,1,state,GA
70496,26,CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST,241.89,1,state,GA
70496,TC,CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST,596.33,1,state,GA
70498,,CT ANGIOGRAPHY NECK W/CONTRAST/NONCONTRAST,837.23,1,state,GA
70498,26,CT ANGIOGRAPHY NECK W/CONTRAST/NONCONTRAST,241.89,1,state,GA
70498,TC,CT ANGIOGRAPHY NECK W/CONTRAST/NONCONTRAST,595.34,1,state,GA
70540,,MRI ORBIT FACE &/NECK W/O CONTRAST,689.14,1,state,GA
70540,26,MRI ORBIT FACE &/NECK W/O CONTRAST,186.6,1,state,GA
70540,TC,MRI ORBIT FACE &/NECK W/O CONTRAST,502.54,1,state,GA
70542,,MRI ORBIT FACE & NECK W/CONTRAST MATERIAL,817.48,1,state,GA
70542,26,MRI ORBIT FACE & NECK W/CONTRAST MATERIAL,224.12,1,state,GA
70542,TC,MRI ORBIT FACE & NECK W/CONTRAST MATERIAL,593.36,1,state,GA
70543,,MRI ORBIT FACE & NECK W/O & W/CONTRAST MATRL,1031.73,1,state,GA
70543,26,MRI ORBIT FACE & NECK W/O & W/CONTRAST MATRL,297.18,1,state,GA
70543,TC,MRI ORBIT FACE & NECK W/O & W/CONTRAST MATRL,734.55,1,state,GA
70544,,MRA HEAD W/O CONTRST MATERIAL,656.55,1,state,GA
70544,26,MRA HEAD W/O CONTRST MATERIAL,165.87,1,state,GA
70544,TC,MRA HEAD W/O CONTRST MATERIAL,490.68,1,state,GA
70545,,MRA HEAD W/CONTRAST MATERIAL,692.1,1,state,GA
70545,26,MRA HEAD W/CONTRAST MATERIAL,165.87,1,state,GA
70545,TC,MRA HEAD W/CONTRAST MATERIAL,526.23,1,state,GA
70546,,MRA HEAD W/O & W/CONTRAST MATERIAL,1005.07,1,state,GA
70546,26,MRA HEAD W/O & W/CONTRAST MATERIAL,205.36,1,state,GA
70546,TC,MRA HEAD W/O & W/CONTRAST MATERIAL,799.71,1,state,GA
70547,,MRA NECK W/O CONTRST MATERIAL,657.54,1,state,GA
70547,26,MRA NECK W/O CONTRST MATERIAL,165.87,1,state,GA
70547,TC,MRA NECK W/O CONTRST MATERIAL,491.67,1,state,GA
70548,,MRA NECK W/CONTRAST MATERIAL,749.36,1,state,GA
70548,26,MRA NECK W/CONTRAST MATERIAL,208.32,1,state,GA
70548,TC,MRA NECK W/CONTRAST MATERIAL,541.04,1,state,GA
70549,,MRA NECK W/O &W/CONTRAST MATERIAL,1052.46,1,state,GA
70549,26,MRA NECK W/O &W/CONTRAST MATERIAL,248.8,1,state,GA
70549,TC,MRA NECK W/O &W/CONTRAST MATERIAL,803.66,1,state,GA
70551,,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,597.32,1,state,GA
70551,26,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,205.36,1,state,GA
70551,TC,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,391.96,1,state,GA
70552,,MRI BRAIN BRAIN STEM W/CONTRAST MATERIAL,823.41,1,state,GA
70552,26,MRI BRAIN BRAIN STEM W/CONTRAST MATERIAL,246.83,1,state,GA
70552,TC,MRI BRAIN BRAIN STEM W/CONTRAST MATERIAL,576.58,1,state,GA
70553,,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,969.53,1,state,GA
70553,26,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,316.92,1,state,GA
70553,TC,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,652.61,1,state,GA
70554,,MRI BRAIN FUNCTIONAL W/O PHYSICIAN ADMNISTRATION,1158.1,1,state,GA
70554,26,MRI BRAIN FUNCTIONAL W/O PHYSICIAN ADMNISTRATION,294.22,1,state,GA
70554,TC,MRI BRAIN FUNCTIONAL W/O PHYSICIAN ADMNISTRATION,863.88,1,state,GA
70555,,MRI BRAIN FUNCTIONAL W/PHYSICIAN ADMNISTRATION,0.0,1,state,GA
70555,26,MRI BRAIN FUNCTIONAL W/PHYSICIAN ADMNISTRATION,345.56,1,state,GA
70555,TC,MRI BRAIN FUNCTIONAL W/PHYSICIAN ADMNISTRATION,0.0,1,state,GA
70557,,MRI BRAIN OPEN INTRACRANIAL PX W/O CONTRAST MATL,0.0,1,state,GA
70557,26,MRI BRAIN OPEN INTRACRANIAL PX W/O CONTRAST MATL,444.29,1,state,GA
70557,TC,MRI BRAIN OPEN INTRACRANIAL PX W/O CONTRAST MATL,0.0,1,state,GA
70558,,MRI BRAIN OPEN INTRACRANIAL PX W/CONTRAST MATL,0.0,1,state,GA
70558,26,MRI BRAIN OPEN INTRACRANIAL PX W/CONTRAST MATL,489.7,1,state,GA
70558,TC,MRI BRAIN OPEN INTRACRANIAL PX W/CONTRAST MATL,0.0,1,state,GA
70559,,MRI BRAIN OPEN INTRACRANIAL PX W/O & W/CONTRAST,0.0,1,state,GA
70559,26,MRI BRAIN OPEN INTRACRANIAL PX W/O & W/CONTRAST,460.08,1,state,GA
70559,TC,MRI BRAIN OPEN INTRACRANIAL PX W/O & W/CONTRAST,0.0,1,state,GA
71045,,RADIOLOGIC EXAM CHEST SINGLE VIEW,76.02,1,state,GA
71045,26,RADIOLOGIC EXAM CHEST SINGLE VIEW,24.68,1,state,GA
71045,TC,RADIOLOGIC EXAM CHEST SINGLE VIEW,51.34,1,state,GA
71046,,RADIOLOGIC EXAM CHEST 2 VIEWS,99.72,1,state,GA
71046,26,RADIOLOGIC EXAM CHEST 2 VIEWS,30.61,1,state,GA
71046,TC,RADIOLOGIC EXAM CHEST 2 VIEWS,69.11,1,state,GA
71047,,RADIOLOGIC EXAM CHEST 3 VIEWS,125.39,1,state,GA
71047,26,RADIOLOGIC EXAM CHEST 3 VIEWS,38.5,1,state,GA
71047,TC,RADIOLOGIC EXAM CHEST 3 VIEWS,86.89,1,state,GA
71048,,RADIOLOGIC EXAM CHEST 4+ VIEWS,135.26,1,state,GA
71048,26,RADIOLOGIC EXAM CHEST 4+ VIEWS,42.45,1,state,GA
71048,TC,RADIOLOGIC EXAM CHEST 4+ VIEWS,92.81,1,state,GA
71100,,RADEX RIBS UNILATERAL 2 VIEWS,108.6,1,state,GA
71100,26,RADEX RIBS UNILATERAL 2 VIEWS,30.61,1,state,GA
71100,TC,RADEX RIBS UNILATERAL 2 VIEWS,77.99,1,state,GA
71101,,RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,125.39,1,state,GA
71101,26,RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,37.52,1,state,GA
71101,TC,RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,87.87,1,state,GA
71110,,RADEX RIBS BILATERAL 3 VIEWS,130.32,1,state,GA
71110,26,RADEX RIBS BILATERAL 3 VIEWS,40.48,1,state,GA
71110,TC,RADEX RIBS BILATERAL 3 VIEWS,89.84,1,state,GA
71111,,RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,155.99,1,state,GA
71111,26,RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,45.42,1,state,GA
71111,TC,RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,110.57,1,state,GA
71120,,RADEX STERNUM MINIMUM 2 VIEWS,99.72,1,state,GA
71120,26,RADEX STERNUM MINIMUM 2 VIEWS,27.64,1,state,GA
71120,TC,RADEX STERNUM MINIMUM 2 VIEWS,72.08,1,state,GA
71130,,RADEX STERNOCLAVICULAR JT/JTS MINIMUM 3 VIEWS,122.43,1,state,GA
71130,26,RADEX STERNOCLAVICULAR JT/JTS MINIMUM 3 VIEWS,30.61,1,state,GA
71130,TC,RADEX STERNOCLAVICULAR JT/JTS MINIMUM 3 VIEWS,91.82,1,state,GA
71250,,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX W/O CNTRST,403.81,1,state,GA
71250,26,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX W/O CNTRST,150.07,1,state,GA
71250,TC,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX W/O CNTRST,253.74,1,state,GA
71260,,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX W/CONTRAST,507.47,1,state,GA
71260,26,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX W/CONTRAST,161.92,1,state,GA
71260,TC,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX W/CONTRAST,345.55,1,state,GA
71270,,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX C-/C+,596.33,1,state,GA
71270,26,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX C-/C+,172.78,1,state,GA
71270,TC,DIAGNOSTIC COMPUTED TOMOGRAPHY THORAX C-/C+,423.55,1,state,GA
71271,,COMPUTED TOMOGRAPHY THORAX LW DOSE LNG CA SCR C-,417.63,1,state,GA
71271,26,COMPUTED TOMOGRAPHY THORAX LW DOSE LNG CA SCR C-,150.07,1,state,GA
71271,TC,COMPUTED TOMOGRAPHY THORAX LW DOSE LNG CA SCR C-,267.56,1,state,GA
71275,,CT ANGIOGRAPHY CHEST W/CONTRAST/NONCONTRAST,855.0,1,state,GA
71275,26,CT ANGIOGRAPHY CHEST W/CONTRAST/NONCONTRAST,251.76,1,state,GA
71275,TC,CT ANGIOGRAPHY CHEST W/CONTRAST/NONCONTRAST,603.24,1,state,GA
71550,,MRI CHEST W/O CONTRAST MATERIAL,1029.75,1,state,GA
71550,26,MRI CHEST W/O CONTRAST MATERIAL,202.4,1,state,GA
71550,TC,MRI CHEST W/O CONTRAST MATERIAL,827.35,1,state,GA
71551,,MRI CHEST W/CONTRAST MATERIAL,1138.36,1,state,GA
71551,26,MRI CHEST W/CONTRAST MATERIAL,239.91,1,state,GA
71551,TC,MRI CHEST W/CONTRAST MATERIAL,898.45,1,state,GA
71552,,MRI CHEST W/O & W/CONTRAST MATERIAL,1436.52,1,state,GA
71552,26,MRI CHEST W/O & W/CONTRAST MATERIAL,312.97,1,state,GA
71552,TC,MRI CHEST W/O & W/CONTRAST MATERIAL,1123.55,1,state,GA
71555,,MRA CHEST W/O & W/CONTRAST MATERIAL,1016.92,1,state,GA
71555,26,MRA CHEST W/O & W/CONTRAST MATERIAL,247.81,1,state,GA
71555,TC,MRA CHEST W/O & W/CONTRAST MATERIAL,769.11,1,state,GA
72020,,RADEX SPINE 1 VIEW SPECIFY LEVEL,72.07,1,state,GA
72020,26,RADEX SPINE 1 VIEW SPECIFY LEVEL,22.71,1,state,GA
72020,TC,RADEX SPINE 1 VIEW SPECIFY LEVEL,49.36,1,state,GA
72040,,RADEX SPINE CERVICAL 2 OR 3 VIEWS,117.49,1,state,GA
72040,26,RADEX SPINE CERVICAL 2 OR 3 VIEWS,31.59,1,state,GA
72040,TC,RADEX SPINE CERVICAL 2 OR 3 VIEWS,85.9,1,state,GA
72050,,RADEX SPINE CERVICAL 4 OR 5 VIEWS,158.96,1,state,GA
72050,26,RADEX SPINE CERVICAL 4 OR 5 VIEWS,37.52,1,state,GA
72050,TC,RADEX SPINE CERVICAL 4 OR 5 VIEWS,121.44,1,state,GA
72052,,RADEX SPINE CERVICAL 6 OR MORE VIEWS,185.61,1,state,GA
72052,26,RADEX SPINE CERVICAL 6 OR MORE VIEWS,42.45,1,state,GA
72052,TC,RADEX SPINE CERVICAL 6 OR MORE VIEWS,143.16,1,state,GA
72070,,RADEX SPINE THORACIC 2 VIEWS,97.74,1,state,GA
72070,26,RADEX SPINE THORACIC 2 VIEWS,28.63,1,state,GA
72070,TC,RADEX SPINE THORACIC 2 VIEWS,69.11,1,state,GA
72072,,RADEX SPINE THORACIC 3 VIEWS,117.49,1,state,GA
72072,26,RADEX SPINE THORACIC 3 VIEWS,31.59,1,state,GA
72072,TC,RADEX SPINE THORACIC 3 VIEWS,85.9,1,state,GA
72074,,RADEX SPINE THORACIC MINIMUM 4 VIEWS,132.3,1,state,GA
72074,26,RADEX SPINE THORACIC MINIMUM 4 VIEWS,34.56,1,state,GA
72074,TC,RADEX SPINE THORACIC MINIMUM 4 VIEWS,97.74,1,state,GA
72080,,RADEX SPINE THORACOLUMBAR JUNCTION MIN 2 VIEWS,102.68,1,state,GA
72080,26,RADEX SPINE THORACOLUMBAR JUNCTION MIN 2 VIEWS,29.62,1,state,GA
72080,TC,RADEX SPINE THORACOLUMBAR JUNCTION MIN 2 VIEWS,73.06,1,state,GA
72081,,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 1 VW,126.37,1,state,GA
72081,26,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 1 VW,36.53,1,state,GA
72081,TC,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 1 VW,89.84,1,state,GA
72082,,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 2/3 VW,208.32,1,state,GA
72082,26,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 2/3 VW,44.43,1,state,GA
72082,TC,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 2/3 VW,163.89,1,state,GA
72083,,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 4/5 VW,234.98,1,state,GA
72083,26,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 4/5 VW,50.35,1,state,GA
72083,TC,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 4/5 VW,184.63,1,state,GA
72084,,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 6/> VW,292.24,1,state,GA
72084,26,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 6/> VW,58.25,1,state,GA
72084,TC,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 6/> VW,233.99,1,state,GA
72100,,RADEX SPINE LUMBOSACRAL 2/3 VIEWS,118.48,1,state,GA
72100,26,RADEX SPINE LUMBOSACRAL 2/3 VIEWS,31.59,1,state,GA
72100,TC,RADEX SPINE LUMBOSACRAL 2/3 VIEWS,86.89,1,state,GA
72110,,RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,154.02,1,state,GA
72110,26,RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,36.53,1,state,GA
72110,TC,RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,117.49,1,state,GA
72114,,RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6,181.66,1,state,GA
72114,26,RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6,42.45,1,state,GA
72114,TC,RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6,139.21,1,state,GA
72120,,RADEX SPINE LUMBOSACRAL ONLY BENDING 2/3 VIEWS,120.45,1,state,GA
72120,26,RADEX SPINE LUMBOSACRAL ONLY BENDING 2/3 VIEWS,31.59,1,state,GA
72120,TC,RADEX SPINE LUMBOSACRAL ONLY BENDING 2/3 VIEWS,88.86,1,state,GA
72125,,CT CERVICAL SPINE W/O CONTRAST MATERIAL,394.92,1,state,GA
72125,26,CT CERVICAL SPINE W/O CONTRAST MATERIAL,138.22,1,state,GA
72125,TC,CT CERVICAL SPINE W/O CONTRAST MATERIAL,256.7,1,state,GA
72126,,CT CERVICAL SPINE W/CONTRAST MATERIAL,512.41,1,state,GA
72126,26,CT CERVICAL SPINE W/CONTRAST MATERIAL,168.83,1,state,GA
