Code Mod,NCIC Category Assignment,Description,NC Non-Facility Rate,NC Facility Rate
0110T,Other professional services,NOS QUANT SENSORY TEST,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0110U,Clinical Laboratory,RX MNTR 1+ORAL ONC RX&SBSTS,40.67,40.67
0111U,Clinical Laboratory,ONC COLON CA KRAS&NRAS ALYS,1023.44,1023.44
0112U,Clinical Laboratory,IADI 16S&18S RRNA GENES,534.20,534.20
0113U,Clinical Laboratory,ONC PRST8 PCA3&TMPRSS2-ERG,1140.00,1140.00
0114U,Clinical Laboratory,GI BARRETTS ESOPH VIM&CCNA1,2907.02,2907.02
0115U,Clinical Laboratory,RESPIR IADNA 18 VIRAL&2 BACT,413.03,413.03
0116U,Clinical Laboratory,RX MNTR NZM IA 35+ORAL FLU,370.38,370.38
0117U,Clinical Laboratory,PAIN MGMT 11 ENDOGENOUS ANAL,1260.98,1260.98
0118U,Clinical Laboratory,TRNSPLJ DON-DRV CLL-FR DNA,4129.88,4129.88
0119U,Clinical Laboratory,CRD CERAMIDES LIQ CHROM PLSM,125.64,125.64
0120U,Clinical Laboratory,ONC B CLL LYMPHM MRNA 58 GEN,3765.32,3765.32
0121U,Clinical Laboratory,SC DIS VCAM-1 WHOLE BLOOD,763.80,763.80
0122U,Clinical Laboratory,SC DIS P-SELECTIN WHL BLOOD,789.35,789.35
0123U,Clinical Laboratory,MCHNL FRAGILITY RBC PRFLG,536.45,536.45
0129U,Clinical Laboratory,HERED BRST CA RLTD DO PANEL,1955.93,1955.93
0130U,Clinical Laboratory,HERED COLON CA DO MRNA PNL,877.35,877.35
0131U,Clinical Laboratory,HERED BRST CA RLTD DO PNL 13,1065.00,1065.00
0132U,Clinical Laboratory,HERED OVA CA RLTD DO PNL 17,1112.46,1112.46
0133U,Clinical Laboratory,HERED PRST8 CA RLTD DO 11,1035.44,1035.44
0134U,Clinical Laboratory,HERED PAN CA MRNA PNL 18 GEN,1122.59,1122.59
0135U,Clinical Laboratory,HERED GYN CA MRNA PNL 12 GEN,1050.84,1050.84
0136U,Clinical Laboratory,ATM MRNA SEQ ALYS,611.15,611.15
0137U,Clinical Laboratory,PALB2 MRNA SEQ ALYS,424.32,424.32
0138U,Clinical Laboratory,BRCA1 BRCA2 MRNA SEQ ALYS,702.50,702.50
0140U,Clinical Laboratory,NFCT DS FUNGI DNA 15 TRGT,235.13,235.13
0141U,Clinical Laboratory,NFCT DS BACT&FNG GRAM POS,235.13,235.13
0142U,Clinical Laboratory,NFCT DS BACT&FNG GRAM NEG,235.13,235.13
0152U,Clinical Laboratory,NFCT DS DNA UNTRGT NGNRJ SEQ,3189.30,3189.30
0153U,Clinical Laboratory,ONC BREAST MRNA 101 GENES,4739.13,4739.13
0154U,Clinical Laboratory,ONC URTHL CA RNA FGFR3 GENE,723.21,723.21
0155U,Clinical Laboratory,ONC BRST CA DNA PIK3CA GENE,412.25,412.25
0156U,Clinical Laboratory,COPY NUMBER SEQUENCE ALYS,2610.00,2610.00
0157U,Clinical Laboratory,APC MRNA SEQ ALYS,424.32,424.32
0158U,Clinical Laboratory,MLH1 MRNA SEQ ALYS,424.32,424.32
0159U,Clinical Laboratory,MSH2 MRNA SEQ ALYS,424.32,424.32
0160U,Clinical Laboratory,MSH6 MRNA SEQ ALYS,424.32,424.32
0161U,Clinical Laboratory,PMS2 MRNA SEQ ALYS,424.32,424.32
0162U,Clinical Laboratory,HERED COLON CA TRGT MRNA PNL,729.81,729.81
0163U,Clinical Laboratory,ONC CLRCT SCR 3 PRTN ALG,586.13,586.13
0164T,Major surgery,REMOVE LUMB ARTIF DISC ADDL,2365.41,2365.41
0164U,Clinical Laboratory,GI IBS IA ANTI-CDTB&VINCULIN,168.03,168.03
0165T,Major surgery,REVISE LUMB ARTIF DISC ADDL,2303.11,2303.11
0165U,Clinical Laboratory,PEANUT ALLG ASMT EPI PRB ALL,695.64,695.64
0166U,Clinical Laboratory,LIVER DS 10 BIOCHEM ASY SRM,755.10,755.10
0169U,Clinical Laboratory,NUDT15&TPMT GENE COM VRNT,699.26,699.26
0170U,Clinical Laboratory,NEURO ASD RNA NEXT GEN SEQ,2925.00,2925.00
0171U,Clinical Laboratory,TRGT GEN SEQ ALYS PNL DNA 23,2278.59,2278.59
0172U,Clinical Laboratory,ONC SLD TUM ALYS BRCA1 BRCA2,4545.00,4545.00
0173U,Clinical Laboratory,PSYC GEN ALYS PANEL 14 GENES,699.26,699.26
0174T,Other professional services,CAD CXR WITH INTERP,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0174U,Clinical Laboratory,ONC SOLID TUMOR 30 PRTN TRGT,1958.06,1958.06
0175T,Other professional services,CAD CXR REMOTE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0175U,Clinical Laboratory,PSYC GEN ALYS PANEL 15 GENES,2004.14,2004.14
0176U,Clinical Laboratory,CDTB&VINCULIN IGG ANTB IA,96.29,96.29
0177U,Clinical Laboratory,ONC BRST CA DNA PIK3CA 11,412.25,412.25
0178U,Clinical Laboratory,PEANUT ALLG ASMT EPI CLIN RX,689.79,689.79
0179U,Clinical Laboratory,ONC NONSM CLL LNG CA ALYS 23,2914.82,2914.82
0180U,Clinical Laboratory,ABO GNOTYP ABO 7 EXONS,412.25,412.25
0181U,Clinical Laboratory,CO GNOTYP AQP1 EXON 1,277.80,277.80
0182U,Clinical Laboratory,CROM GNOTYP CD55 EXONS 1-10,452.03,452.03
0183U,Clinical Laboratory,DI GNOTYP SLC4A1 EXON 19,277.80,277.80
0184T,Other professional services,EXC RECTAL TUMOR ENDOSCOPIC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0184U,Clinical Laboratory,DO GNOTYP ART4 EXON 2,277.80,277.80
0185U,Clinical Laboratory,FUT1 GNOTYP FUT1 EXON 4,277.80,277.80
0186U,Clinical Laboratory,FUT2 GNOTYP FUT2 EXON 2,277.80,277.80
0187U,Clinical Laboratory,FY GNOTYP ACKR1 EXONS 1-2,412.25,412.25
0188U,Clinical Laboratory,GE GNOTYP GYPC EXONS 1-4,412.25,412.25
0189U,Clinical Laboratory,GYPA GNOTYP NTRNS 1 5 EXON 2,412.25,412.25
0190U,Clinical Laboratory,GYPB GNOTYP NTRNS 1 5 SEUX 3,412.25,412.25
0191U,Clinical Laboratory,IN GNOTYP CD44 EXONS 2 3 6,412.25,412.25
0192U,Clinical Laboratory,JK GNOTYP SLC14A1 EXON 9,412.25,412.25
0193U,Clinical Laboratory,JR GNOTYP ABCG2 EXONS 2-26,424.32,424.32
0194U,Clinical Laboratory,KEL GNOTYP KEL EXON 8,277.80,277.80
0195U,Clinical Laboratory,KLF1 TARGETED SEQUENCING,562.88,562.88
0196U,Clinical Laboratory,LU GNOTYP BCAM EXON 3,277.80,277.80
0197U,Clinical Laboratory,LW GNOTYP ICAM4 EXON 1,277.80,277.80
0198T,Other professional services,OCULAR BLOOD FLOW MEASURE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0198U,Clinical Laboratory,RHD&RHCE GNTYP RHD1-10&RHCE5,424.32,424.32
0199U,Clinical Laboratory,SC GNOTYP ERMAP EXONS 4 12,412.25,412.25
0200T,Other professional services,PERQ SACRAL AUGMT UNILAT INJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0200U,Clinical Laboratory,XK GNOTYP XK EXONS 1-3,412.25,412.25
0201T,Other professional services,PERQ SACRAL AUGMT BILAT INJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0201U,Clinical Laboratory,YT GNOTYP ACHE EXON 2,277.80,277.80
0202T,Other professional services,POST VERT ARTHRPLST 1 LUMBAR,3535.14,2160.56
0202U,Clinical Laboratory,NFCT DS 22 TRGT SARS-COV-2,625.17,625.17
0203U,Clinical Laboratory,AI IBD MRNA XPRSN PRFL 17,1140.00,1140.00
0205U,Clinical Laboratory,OPH AMD ALYS 3 GENE VARIANTS,70.50,70.50
0206U,Clinical Laboratory,NEURO ALZHEIMER CELL AGGREGJ,3323.10,3323.10
0207T,Other professional services,CLEAR EYELID GLAND W/HEAT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0207U,Clinical Laboratory,NEURO ALZHEIMER QUAN IMAGING,766.80,766.80
0208T,Other professional services,AUDIOMETRY AIR ONLY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0209T,Other professional services,AUDIOMETRY AIR & BONE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0209U,Clinical Laboratory,CYTOG CONST ALYS INTERROG,1180.73,1180.73
0210T,Other professional services,SPEECH AUDIOMETRY THRESHOLD,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0210U,Clinical Laboratory,SYPHILIS TST ANTB IA QUAN,27.95,27.95
0211T,Other professional services,SPEECH AUDIOM THRESH & RECOG,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0211U,Clinical Laboratory,ONC PAN-TUM DNA&RNA GNRJ SEQ,12682.50,12682.50
0212T,Other professional services,COMPRE AUDIOMETRY EVALUATION,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0212U,Clinical Laboratory,RARE DS GEN DNA ALYS PROBAND,8212.80,8212.80
0213T,Other professional services,NJX PARAVERT W/US CER/THOR,301.97,171.72
0213U,Clinical Laboratory,RARE DS GEN DNA ALYS EA COMP,4064.93,4064.93
0214T,Major surgery,NJX PARAVERT W/US CER/THOR,194.77,126.34
0214U,Clinical Laboratory,RARE DS XOM DNA ALYS PROBAND,7836.90,7836.90
0215T,Major surgery,NJX PARAVERT W/US CER/THOR,196.77,128.35
0215U,Clinical Laboratory,RARE DS XOM DNA ALYS EA COMP,3861.98,3861.98
0216T,Other professional services,NJX PARAVERT W/US LUMB/SAC,269.48,144.90
0216U,Clinical Laboratory,NEURO INH ATAXIA DNA 12 COM,2305.53,2305.53
0217T,Major surgery,NJX PARAVERT W/US LUMB/SAC,175.99,107.48
0217U,Clinical Laboratory,NEURO INH ATAXIA DNA 51 GENE,3297.53,3297.53
0218T,Major surgery,NJX PARAVERT W/US LUMB/SAC,178.68,108.87
0218U,Clinical Laboratory,NEURO MUSC DYS DMD SEQ ALYS,3418.50,3418.50
0219T,Other professional services,PLMT POST FACET IMPLT CERV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0219U,Clinical Laboratory,NFCT AGT HIV GNRJ SEQ ALYS,1087.50,1087.50
0220T,Other professional services,PLMT POST FACET IMPLT THOR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0220U,Clinical Laboratory,ONC BRST CA AI ASSMT 12 FEAT,1059.38,1059.38
0221T,Other professional services,PLMT POST FACET IMPLT LUMB,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0221U,Clinical Laboratory,ABO GNOTYP NEXT GNRJ SEQ ABO,412.25,412.25
0222T,Major surgery,PLMT POST FACET IMPLT ADDL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0222U,Clinical Laboratory,RHD&RHCE GNTYP NEXT GNRJ SEQ,424.32,424.32
0223U,Clinical Laboratory,NFCT DS 22 TRGT SARS-COV-2,625.17,625.17
0224U,Clinical Laboratory,ANTIBODY SARS-COV-2 TITER(S),77.15,77.15
0225U,Clinical Laboratory,NFCT DS DNA&RNA 21 SARSCOV2,625.17,625.17
0226U,Clinical Laboratory,SVNT SARSCOV2 ELISA PLSM SRM,63.42,63.42
0227U,Clinical Laboratory,RX ASY PRSMV 30+RX/METABLT,93.21,93.21
0228U,Clinical Laboratory,ONC PRST8 MA MOLEC PRFL ALG,259.55,259.55
0229U,Clinical Laboratory,BCAT1&IKZF1 PRMTR MTHLN ALYS,576.00,576.00
0230U,Clinical Laboratory,AR FULL SEQUENCE ANALYSIS,452.03,452.03
0231U,Clinical Laboratory,CACNA1A FULL GENE ANALYSIS,1269.41,1269.41
0232T,Other professional services,NJX PLATELET PLASMA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0232U,Clinical Laboratory,CSTB FULL GENE ANALYSIS,412.25,412.25
0233U,Clinical Laboratory,FXN GENE ANALYSIS,412.25,412.25
0234T,Major surgery,TRLUML PERIP ATHRC RENAL ART,2673.43,2673.43
0234U,Clinical Laboratory,MECP2 FULL GENE ANALYSIS,791.81,791.81
0235T,Major surgery,TRLUML PERIP ATHRC VISCERAL,15545.58,1022.13
0235U,Clinical Laboratory,PTEN FULL GENE ANALYSIS,900.00,900.00
0236T,Major surgery,TRLUML PERIP ATHRC ABD AORTA,2276.24,2276.24
0236U,Clinical Laboratory,SMN1&SMN2 FULL GENE ANALYSIS,904.05,904.05
0237T,Major surgery,TRLUML PERIP ATHRC BRCHIOCPH,2516.24,2516.24
0237U,Clinical Laboratory,CAR ION CHNLPTHY GEN SEQ PNL,877.35,877.35
0238T,Major surgery,TRLUML PERIP ATHRC ILIAC ART,2089.11,2089.11
0238U,Clinical Laboratory,ONC LNCH SYN GEN DNA SEQ ALY,877.35,877.35
0239U,Clinical Laboratory,TRGT GEN SEQ ALYS PNL 311+,5250.00,5250.00
0240U,Clinical Laboratory,NFCT DS VIR RESP RNA 3 TRGT,213.95,213.95
0241U,Clinical Laboratory,NFCT DS VIR RESP RNA 4 TRGT,213.95,213.95
0242U,Clinical Laboratory,TRGT GEN SEQ ALYS PNL 55-74,7500.00,7500.00
0243U,Clinical Laboratory,OB PE BIOCHEM ASSAY PGF ALG,96.62,96.62
0244U,Clinical Laboratory,ONC SOLID ORGN DNA 257 GENES,5250.00,5250.00
0245U,Clinical Laboratory,ONC THYR MUT ALYS 10 GEN&37,1899.11,1899.11
0246U,Clinical Laboratory,RBC DNA GNOTYP 16 BLD GROUPS,1080.00,1080.00
0247U,Clinical Laboratory,OB PRTRM BRTH IBP4 SHBG MEAS,1125.00,1125.00
0248U,Clinical Laboratory,ONC SPHRD CELL CUL 12 RX PNL,4550.79,4550.79
0249U,Clinical Laboratory,ONC BRST ALYS 32 PHSPRTN ALG,3328.70,3328.70
0250U,Clinical Laboratory,ONC SLD ORG NEO DNA 505 GENE,4379.40,4379.40
0251U,Clinical Laboratory,HEPCIDIN-25 ELISA SERUM/PLSM,25.91,25.91
0252U,Clinical Laboratory,FTL ANEUPLOIDY STR ALYS DNA,1138.58,1138.58
0253T,Major surgery,INSERT AQUEOUS DRAIN DEVICE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0253U,Clinical Laboratory,RPRDTVE MED RNA GEN PRFL 238,4739.13,4739.13
0254U,Clinical Laboratory,REPRDTVE MED ALYS 24 CHRMSM,1138.58,1138.58
0255U,Clinical Laboratory,ANDROLOGY INFERTILITY ASSMT,47.40,47.40
0256U,Clinical Laboratory,TMA/TMAO PRFL MS/MS UR ALG,239.93,239.93
0257U,Clinical Laboratory,VLCAD LEUK NZM ACTV WHL BLD,1068.71,1068.71
0258U,Clinical Laboratory,AI PSOR MRNA 50-100 GEN ALG,5512.50,5512.50
0259U,Clinical Laboratory,NEPH CKD NUC MRS MEAS GFR,79.07,79.07
0260U,Clinical Laboratory,RARE DS ID OPT GENOME MAPG,1895.30,1895.30
0261U,Clinical Laboratory,ONC CLRCT CA IMG ALYS W/AI,3769.88,3769.88
0262U,Clinical Laboratory,ONC SLD TUM RT-PCR 7 GEN,4800.00,4800.00
0263T,Other professional services,IM B1 MRW CEL THER CMPL,504.72,504.72
0263U,Clinical Laboratory,NEURO ASD MEAS 16 C METBLT,1125.00,1125.00
0264T,Other professional services,IM B1 MRW CEL THER XCL HRVST,226.50,226.50
0264U,Clinical Laboratory,RARE DS ID OPT GENOME MAPG,1895.30,1895.30
0265T,Other professional services,IM B1 MRW CEL THER HRVST ONL,19.01,19.01
0265U,Clinical Laboratory,RAR DO WHL GN&MTCDRL DNA ALS,8213.70,8213.70
0266T,Major surgery,IMPLT/RPL CRTD SNS DEV TOTAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0266U,Clinical Laboratory,UNXPL CNST HRTBL DO GN XPRSN,4800.00,4800.00
0267T,Major surgery,IMPLT/RPL CRTD SNS DEV LEAD,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0267U,Clinical Laboratory,RARE DO ID OPT GEN MAPG&SEQ,10109.00,10109.00
0268T,Major surgery,IMPLT/RPL CRTD SNS DEV GEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0268U,Clinical Laboratory,HEM AHUS GEN SEQ ALYS 15 GEN,912.26,912.26
0269T,Other professional services,REV/REMVL CRTD SNS DEV TOTAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0269U,Clinical Laboratory,HEM AUT DM CGEN TRMBCTPNA 22,912.26,912.26
0270T,Other professional services,REV/REMVL CRTD SNS DEV LEAD,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0270U,Clinical Laboratory,HEM CGEN COAGJ DO 20 GENES,912.26,912.26
0271T,Other professional services,REV/REMVL CRTD SNS DEV GEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0271U,Clinical Laboratory,HEM CGEN NEUTROPENIA 24 GEN,912.26,912.26
0272T,Other professional services,INTERROGATE CRTD SNS DEV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0272U,Clinical Laboratory,HEM GENETIC BLD DO 60 GENES,912.26,912.26
0273T,Other professional services,INTERROGATE CRTD SNS W/PGRMG,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0273U,Clinical Laboratory,HEM GEN HYPRFIBRNLYSIS 9 GEN,912.26,912.26
0274T,Major surgery,PERQ LAMOT/LAM CRV/THRC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0274U,Clinical Laboratory,HEM GEN PLTLT DO 62 GENES,912.26,912.26
0275T,Other professional services,PERQ LAMOT/LAM LUMBAR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0275U,Clinical Laboratory,HEM HEPRN NDUC TRMBCTPNA SRM,27.56,27.56
0276U,Clinical Laboratory,HEM INH THROMBOCYTOPENIA 42,3672.84,3672.84
