ARIZONA PHYSICIANS' FEE SCHEDULE,,,,,
Radiology Codes 2024,,,,,
Radiology Conversion Factor $70.00,,,,,
,,,,,
,,,,,
Code,Category,FY24 NF RVU,FY24 FAC RVU,FY24 NF RBRVS Rate,FY24 FAC RBRVS Rate
11308 00,Surgery,4.38,2.07,315.36,149.04
11310 00,Surgery,3.48,1.35,250.56,97.20
11311 00,Surgery,4.11,1.86,295.92,133.92
11312 00,Surgery,4.67,2.20,336.24,158.40
11313 00,Surgery,5.44,2.85,391.68,205.20
11400 00,Surgery,3.87,2.55,278.64,183.60
11401 00,Surgery,4.71,3.19,339.12,229.68
11402 00,Surgery,5.19,3.49,373.68,251.28
11403 00,Surgery,5.98,4.52,430.56,325.44
11404 00,Surgery,6.77,4.97,487.44,357.84
11406 00,Surgery,9.63,7.49,693.36,539.28
11420 00,Surgery,3.82,2.48,275.04,178.56
11421 00,Surgery,4.82,3.29,347.04,236.88
11422 00,Surgery,5.41,4.10,389.52,295.20
11423 00,Surgery,6.20,4.74,446.40,341.28
11424 00,Surgery,7.18,5.46,516.96,393.12
11426 00,Surgery,9.89,8.06,712.08,580.32
11440 00,Surgery,4.33,3.24,311.76,233.28
11441 00,Surgery,5.26,4.03,378.72,290.16
11442 00,Surgery,5.84,4.44,420.48,319.68
11443 00,Surgery,6.88,5.40,495.36,388.80
11444 00,Surgery,8.54,6.79,614.88,488.88
11446 00,Surgery,11.57,9.53,833.04,686.16
11450 00,Surgery,12.98,7.94,934.56,571.68
11451 00,Surgery,15.81,10.02,1138.32,721.44
11462 00,Surgery,12.62,7.56,908.64,544.32
11463 00,Surgery,16.01,10.07,1152.72,725.04
11470 00,Surgery,13.72,8.68,987.84,624.96
11471 00,Surgery,16.45,10.62,1184.40,764.64
11600 00,Surgery,5.95,3.68,428.40,264.96
11601 00,Surgery,6.89,4.45,496.08,320.40
11602 00,Surgery,7.37,4.83,530.64,347.76
11603 00,Surgery,8.39,5.77,604.08,415.44
11604 00,Surgery,9.35,6.35,673.20,457.20
11606 00,Surgery,13.49,9.46,971.28,681.12
11620 00,Surgery,5.98,3.71,430.56,267.12
11621 00,Surgery,6.91,4.47,497.52,321.84
11622 00,Surgery,7.63,5.07,549.36,365.04
11623 00,Surgery,8.91,6.25,641.52,450.00
11624 00,Surgery,10.15,7.11,730.80,511.92
11626 00,Surgery,12.21,8.69,879.12,625.68
11640 00,Surgery,6.13,3.81,441.36,274.32
11641 00,Surgery,7.14,4.66,514.08,335.52
11642 00,Surgery,8.08,5.45,581.76,392.40
11643 00,Surgery,9.48,6.79,682.56,488.88
11644 00,Surgery,11.70,8.41,842.40,605.52
11646 00,Surgery,15.17,11.61,1092.24,835.92
11719 00,Surgery,0.43,0.22,30.96,15.84
11720 00,Surgery,0.99,0.42,71.28,30.24
11721 00,Surgery,1.34,0.70,96.48,50.40
11730 00,Surgery,3.46,1.60,249.12,115.20
11732 00,Surgery,0.99,0.50,71.28,36.00
11740 00,Surgery,1.74,0.97,125.28,69.84
11750 00,Surgery,4.84,3.06,348.48,220.32
11755 00,Surgery,3.67,1.80,264.24,129.60
11760 00,Surgery,5.56,3.29,400.32,236.88
11762 00,Surgery,8.66,5.61,623.52,403.92
11765 00,Surgery,5.00,2.80,360.00,201.60
11770 00,Surgery,10.67,5.60,768.24,403.20
11771 00,Surgery,19.00,13.62,1368.00,980.64
11772 00,Surgery,23.27,17.51,1675.44,1260.72
11900 00,Surgery,1.73,0.89,124.56,64.08
11901 00,Surgery,2.11,1.35,151.92,97.20
11920 00,Surgery,6.04,3.41,434.88,245.52
11921 00,Surgery,6.67,3.91,480.24,281.52
11922 00,Surgery,1.84,0.86,132.48,61.92
11950 00,Surgery,2.46,1.55,177.12,111.60
11951 00,Surgery,3.27,2.17,235.44,156.24
11952 00,Surgery,4.37,3.05,314.64,219.60
11954 00,Surgery,4.81,3.33,346.32,239.76
11960 00,Surgery,30.59,30.59,2202.48,2202.48
11970 00,Surgery,16.95,16.95,1220.40,1220.40
11971 00,Surgery,16.70,16.70,1202.40,1202.40
11976 00,Surgery,4.37,2.77,314.64,199.44
11980 00,Surgery,2.83,1.65,203.76,118.80
11981 00,Surgery,3.03,1.87,218.16,134.64
11982 00,Surgery,3.34,2.18,240.48,156.96
11983 00,Surgery,4.27,3.08,307.44,221.76
12001 00,Surgery,2.84,1.34,204.48,96.48
12002 00,Surgery,3.44,1.76,247.68,126.72
12004 00,Surgery,4.01,2.20,288.72,158.40
12005 00,Surgery,5.34,2.83,384.48,203.76
12006 00,Surgery,6.16,3.46,443.52,249.12
12007 00,Surgery,6.99,4.30,503.28,309.60
12011 00,Surgery,3.38,1.66,243.36,119.52
12013 00,Surgery,3.52,1.73,253.44,124.56
12014 00,Surgery,4.30,2.24,309.60,161.28
12015 00,Surgery,5.19,2.81,373.68,202.32
12016 00,Surgery,6.58,3.81,473.76,274.32
12017 00,Surgery,4.60,4.60,331.20,331.20
12018 00,Surgery,5.18,5.18,372.96,372.96
12020 00,Surgery,9.03,5.66,650.16,407.52
12021 00,Surgery,5.35,4.25,385.20,306.00
12031 00,Surgery,7.91,4.54,569.52,326.88
12032 00,Surgery,9.14,5.70,658.08,410.40
12034 00,Surgery,10.07,6.15,725.04,442.80
12035 00,Surgery,11.71,7.24,843.12,521.28
12036 00,Surgery,13.05,8.47,939.60,609.84
12037 00,Surgery,14.66,9.84,1055.52,708.48
12041 00,Surgery,7.93,4.35,570.96,313.20
12042 00,Surgery,9.33,5.86,671.76,421.92
12044 00,Surgery,11.52,6.42,829.44,462.24
12045 00,Surgery,12.44,8.22,895.68,591.84
12046 00,Surgery,15.07,9.58,1085.04,689.76
12047 00,Surgery,16.50,10.62,1188.00,764.64
12051 00,Surgery,8.53,5.08,614.16,365.76
12052 00,Surgery,9.49,5.97,683.28,429.84
12053 00,Surgery,10.93,6.44,786.96,463.68
12054 00,Surgery,11.51,6.59,828.72,474.48
12055 00,Surgery,15.13,9.05,1089.36,651.60
12056 00,Surgery,17.42,11.52,1254.24,829.44
12057 00,Surgery,18.23,12.57,1312.56,905.04
13100 00,Surgery,10.23,5.98,736.56,430.56
13101 00,Surgery,11.91,7.36,857.52,529.92
13102 00,Surgery,3.49,2.13,251.28,153.36
13120 00,Surgery,10.66,6.91,767.52,497.52
13121 00,Surgery,12.76,7.68,918.72,552.96
13122 00,Surgery,3.80,2.45,273.60,176.40
13131 00,Surgery,11.65,7.21,838.80,519.12
13132 00,Surgery,14.12,9.00,1016.64,648.00
13133 00,Surgery,5.04,3.72,362.88,267.84
13151 00,Surgery,12.69,8.28,913.68,596.16
13152 00,Surgery,14.90,9.98,1072.80,718.56
13153 00,Surgery,5.54,4.05,398.88,291.60
13160 00,Surgery,23.89,23.89,1720.08,1720.08
14000 00,Surgery,19.23,15.20,1384.56,1094.40
14001 00,Surgery,24.48,19.66,1762.56,1415.52
14020 00,Surgery,21.24,17.06,1529.28,1228.32
14021 00,Surgery,26.15,21.27,1882.80,1531.44
14040 00,Surgery,22.92,18.73,1650.24,1348.56
14041 00,Surgery,27.82,22.84,2003.04,1644.48
14060 00,Surgery,23.16,19.95,1667.52,1436.40
14061 00,Surgery,30.03,24.53,2162.16,1766.16
14301 00,Surgery,32.59,26.05,2346.48,1875.60
14302 00,Surgery,6.40,6.40,460.80,460.80
14350 00,Surgery,20.29,20.29,1460.88,1460.88
15002 00,Surgery,10.30,6.53,741.60,470.16
15003 00,Surgery,2.08,1.34,149.76,96.48
15004 00,Surgery,11.76,7.71,846.72,555.12
15005 00,Surgery,3.48,2.66,250.56,191.52
15040 00,Surgery,7.84,3.74,564.48,269.28
15050 00,Surgery,17.67,13.78,1272.24,992.16
15100 00,Surgery,26.13,21.51,1881.36,1548.72
15101 00,Surgery,5.56,3.30,400.32,237.60
15110 00,Surgery,25.07,21.48,1805.04,1546.56
15111 00,Surgery,3.39,3.02,244.08,217.44
15115 00,Surgery,24.32,20.90,1751.04,1504.80
15116 00,Surgery,4.59,4.11,330.48,295.92
15120 00,Surgery,25.46,20.73,1833.12,1492.56
15121 00,Surgery,6.20,3.92,446.40,282.24
15130 00,Surgery,21.66,17.97,1559.52,1293.84
15131 00,Surgery,2.91,2.65,209.52,190.80
15135 00,Surgery,26.22,22.73,1887.84,1636.56
15136 00,Surgery,2.87,2.65,206.64,190.80
15150 00,Surgery,21.23,19.25,1528.56,1386.00
15151 00,Surgery,3.54,3.24,254.88,233.28
15152 00,Surgery,4.41,4.13,317.52,297.36
15155 00,Surgery,23.87,21.86,1718.64,1573.92
15156 00,Surgery,4.77,4.47,343.44,321.84
15157 00,Surgery,5.30,4.87,381.60,350.64
15200 00,Surgery,25.32,20.25,1823.04,1458.00
15201 00,Surgery,4.19,2.27,301.68,163.44
15220 00,Surgery,23.21,18.34,1671.12,1320.48
15221 00,Surgery,3.87,2.05,278.64,147.60
15240 00,Surgery,28.01,23.92,2016.72,1722.24
15241 00,Surgery,5.23,3.18,376.56,228.96
15260 00,Surgery,30.11,25.35,2167.92,1825.20
15261 00,Surgery,6.14,4.02,442.08,289.44
15271 00,Surgery,4.63,2.50,333.36,180.00
15272 00,Surgery,0.74,0.50,53.28,36.00
15273 00,Surgery,9.26,5.80,666.72,417.60
15274 00,Surgery,2.43,1.32,174.96,95.04
15275 00,Surgery,4.77,2.77,343.44,199.44
15276 00,Surgery,0.97,0.74,69.84,53.28
15277 00,Surgery,10.22,6.61,735.84,475.92
15278 00,Surgery,2.84,1.65,204.48,118.80
15570 00,Surgery,27.28,21.90,1964.16,1576.80
15572 00,Surgery,26.57,22.15,1913.04,1594.80
15574 00,Surgery,26.67,22.23,1920.24,1600.56
15576 00,Surgery,23.49,19.42,1691.28,1398.24
15600 00,Surgery,10.22,6.43,735.84,462.96
15610 00,Surgery,11.12,7.40,800.64,532.80
15620 00,Surgery,13.51,9.87,972.72,710.64
15630 00,Surgery,13.97,10.38,1005.84,747.36
15650 00,Surgery,16.36,12.20,1177.92,878.40
15730 00,Surgery,42.67,27.39,3072.24,1972.08
15731 00,Surgery,33.77,29.92,2431.44,2154.24
15733 00,Surgery,30.85,30.85,2221.20,2221.20
15734 00,Surgery,45.01,45.01,3240.72,3240.72
15736 00,Surgery,36.57,36.57,2633.04,2633.04
15738 00,Surgery,37.99,37.99,2735.28,2735.28
15740 00,Surgery,30.54,25.30,2198.88,1821.60
15750 00,Surgery,28.10,28.10,2023.20,2023.20
15756 00,Surgery,68.22,68.22,4911.84,4911.84
15757 00,Surgery,67.77,67.77,4879.44,4879.44
15758 00,Surgery,67.49,67.49,4859.28,4859.28
15760 00,Surgery,25.48,20.97,1834.56,1509.84
15769 00,Surgery,14.48,14.48,1042.56,1042.56
15770 00,Surgery,20.31,20.31,1462.32,1462.32
15771 00,Surgery,18.43,15.44,1326.96,1111.68
15772 00,Surgery,5.75,4.41,414.00,317.52
15773 00,Surgery,17.98,15.11,1294.56,1087.92
15774 00,Surgery,5.59,4.26,402.48,306.72
15775 00,Surgery,11.30,7.61,813.60,547.92
15776 00,Surgery,15.28,10.43,1100.16,750.96
15777 00,Surgery,6.37,6.37,458.64,458.64
15778 00,Surgery,11.49,11.49,827.28,827.28
15780 00,Surgery,25.50,19.93,1836.00,1434.96
15781 00,Surgery,16.13,12.85,1161.36,925.20
15782 00,Surgery,14.64,11.14,1054.08,802.08
15783 00,Surgery,13.58,10.70,977.76,770.40
15786 00,Surgery,6.90,4.04,496.80,290.88
15787 00,Surgery,0.90,0.49,64.80,35.28
15788 00,Surgery,11.73,6.54,844.56,470.88
15789 00,Surgery,16.06,12.36,1156.32,889.92
15792 00,Surgery,10.11,6.36,727.92,457.92
15793 00,Surgery,14.33,10.77,1031.76,775.44
15819 00,Surgery,24.08,24.08,1733.76,1733.76
15820 00,Surgery,17.44,15.48,1255.68,1114.56
15821 00,Surgery,18.67,16.51,1344.24,1188.72
15822 00,Surgery,13.91,11.99,1001.52,863.28
15823 00,Surgery,18.70,16.52,1346.40,1189.44
15824 00,Surgery,-,-,4861.44,3451.68
15825 00,Surgery,-,-,8507.52,6040.08
15826 00,Surgery,0.00,0.00,BR,BR
15828 00,Surgery,-,-,6886.80,4889.52
15829 00,Surgery,-,-,8223.84,5839.20
15830 00,Surgery,35.19,35.19,2533.68,2533.68
15832 00,Surgery,27.73,27.73,1996.56,1996.56
15833 00,Surgery,26.39,26.39,1900.08,1900.08
15834 00,Surgery,26.86,26.86,1933.92,1933.92
15835 00,Surgery,27.99,27.99,2015.28,2015.28
15836 00,Surgery,24.00,24.00,1728.00,1728.00
15837 00,Surgery,26.14,21.57,1882.08,1553.04
15838 00,Surgery,19.58,19.58,1409.76,1409.76
15839 00,Surgery,26.91,22.26,1937.52,1602.72
15840 00,Surgery,30.38,30.38,2187.36,2187.36
15841 00,Surgery,53.29,53.29,3836.88,3836.88
15842 00,Surgery,80.61,80.61,5803.92,5803.92
15845 00,Surgery,31.94,31.94,2299.68,2299.68
15847 00,Surgery,-,-,1519.20,1078.56
15851 00,Surgery,1.70,1.95,122.40,140.40
15852 00,Surgery,1.33,1.33,95.76,95.76
15853 00,Surgery,0.35,0.35,25.20,25.20
15854 00,Surgery,0.48,0.48,34.56,34.56
15860 00,Surgery,3.16,3.16,227.52,227.52
15876 00,Surgery,-,-,1880.64,1335.60
15877 00,Surgery,-,-,2458.08,1745.28
15878 00,Surgery,0.00,0.00,BR,BR
15879 00,Surgery,-,-,3458.88,2455.92
15920 00,Surgery,19.05,19.05,1371.60,1371.60
15922 00,Surgery,24.02,24.02,1729.44,1729.44
15931 00,Surgery,21.25,21.25,1530.00,1530.00
15933 00,Surgery,26.31,26.31,1894.32,1894.32
15934 00,Surgery,29.62,29.62,2132.64,2132.64
15935 00,Surgery,34.73,34.73,2500.56,2500.56
15936 00,Surgery,27.01,27.01,1944.72,1944.72
15937 00,Surgery,31.15,31.15,2242.80,2242.80
15940 00,Surgery,21.38,21.38,1539.36,1539.36
15941 00,Surgery,27.94,27.94,2011.68,2011.68
15944 00,Surgery,28.12,28.12,2024.64,2024.64
15945 00,Surgery,30.70,30.70,2210.40,2210.40
15946 00,Surgery,48.34,48.34,3480.48,3480.48
15950 00,Surgery,19.21,19.21,1383.12,1383.12
15951 00,Surgery,27.07,27.07,1949.04,1949.04
15952 00,Surgery,27.58,27.58,1985.76,1985.76
15953 00,Surgery,30.37,30.37,2186.64,2186.64
15956 00,Surgery,35.69,35.69,2569.68,2569.68
15958 00,Surgery,35.30,35.30,2541.60,2541.60
15999 00,Surgery,0.00,0.00,BR,BR
16000 00,Surgery,2.40,1.36,172.80,97.92
16020 00,Surgery,2.59,1.68,186.48,120.96
16025 00,Surgery,4.74,3.34,341.28,240.48
16030 00,Surgery,5.94,3.95,427.68,284.40
16035 00,Surgery,5.83,5.83,419.76,419.76
16036 00,Surgery,2.45,2.45,176.40,176.40
17000 00,Surgery,2.04,1.66,146.88,119.52
17003 00,Surgery,0.20,0.06,14.40,4.32
17004 00,Surgery,5.04,2.95,362.88,212.40
17106 00,Surgery,10.40,8.31,748.80,598.32
17107 00,Surgery,13.49,10.81,971.28,778.32
17108 00,Surgery,19.17,15.86,1380.24,1141.92
17110 00,Surgery,3.43,2.07,246.96,149.04
17111 00,Surgery,4.01,2.51,288.72,180.72
17250 00,Surgery,2.62,1.13,188.64,81.36
17260 00,Surgery,3.01,2.12,216.72,152.64
17261 00,Surgery,4.48,2.62,322.56,188.64
17262 00,Surgery,5.38,3.31,387.36,238.32
17263 00,Surgery,5.82,3.66,419.04,263.52
17264 00,Surgery,6.24,3.91,449.28,281.52
17266 00,Surgery,7.09,4.58,510.48,329.76
17270 00,Surgery,4.52,2.87,325.44,206.64
17271 00,Surgery,5.02,3.15,361.44,226.80
17272 00,Surgery,5.69,3.63,409.68,261.36
17273 00,Surgery,6.31,4.10,454.32,295.20
17274 00,Surgery,7.37,5.00,530.64,360.00
17276 00,Surgery,8.55,6.03,615.60,434.16
17280 00,Surgery,4.25,2.61,306.00,187.92
17281 00,Surgery,5.43,3.54,390.96,254.88
17282 00,Surgery,6.20,4.08,446.40,293.76
17283 00,Surgery,7.33,5.10,527.76,367.20
17284 00,Surgery,8.32,5.93,599.04,426.96
17286 00,Surgery,10.67,8.05,768.24,579.60
17311 00,Surgery,20.45,10.52,1472.40,757.44
17312 00,Surgery,12.41,5.60,893.52,403.20
17313 00,Surgery,19.22,9.44,1383.84,679.68
17314 00,Surgery,11.89,5.19,856.08,373.68
17315 00,Surgery,2.40,1.48,172.80,106.56
17340 00,Surgery,1.58,1.47,113.76,105.84
17360 00,Surgery,3.71,2.79,267.12,200.88
17380 00,Surgery,-,-,97.20,69.12
17999 00,Surgery,0.00,0.00,BR,BR
19000 00,Surgery,3.01,1.25,216.72,90.00
19001 00,Surgery,0.79,0.62,56.88,44.64
19020 00,Surgery,14.18,9.52,1020.96,685.44
19030 00,Surgery,4.91,2.23,353.52,160.56
19081 00,Surgery,14.85,4.79,1069.20,344.88
19082 00,Surgery,11.41,2.40,821.52,172.80
19083 00,Surgery,14.80,4.53,1065.60,326.16
19084 00,Surgery,11.23,2.26,808.56,162.72
19085 00,Surgery,22.67,5.26,1632.24,378.72
19086 00,Surgery,17.53,2.62,1262.16,188.64
19100 00,Surgery,4.48,2.06,322.56,148.32
19101 00,Surgery,9.88,6.74,711.36,485.28
19105 00,Surgery,68.01,6.27,4896.72,451.44
19110 00,Surgery,14.71,10.70,1059.12,770.40
19112 00,Surgery,13.93,9.82,1002.96,707.04
19120 00,Surgery,15.73,12.66,1132.56,911.52
19125 00,Surgery,17.33,14.00,1247.76,1008.00
19126 00,Surgery,4.77,4.77,343.44,343.44
19281 00,Surgery,7.21,2.89,519.12,208.08
19282 00,Surgery,5.10,1.45,367.20,104.40
19283 00,Surgery,7.73,2.92,556.56,210.24
19284 00,Surgery,5.65,1.46,406.80,105.12
19285 00,Surgery,10.91,2.47,785.52,177.84
19286 00,Surgery,8.91,1.24,641.52,89.28
19287 00,Surgery,18.82,3.69,1355.04,265.68
19288 00,Surgery,14.49,1.84,1043.28,132.48
19294 00,Surgery,4.89,4.89,352.08,352.08
19296 00,Surgery,107.75,6.28,7758.00,452.16
19297 00,Surgery,2.79,2.79,200.88,200.88
19298 00,Surgery,26.05,9.45,1875.60,680.40
19300 00,Surgery,17.41,13.07,1253.52,941.04
19301 00,Surgery,19.93,19.93,1434.96,1434.96
19302 00,Surgery,27.36,27.36,1969.92,1969.92
19303 00,Surgery,28.88,28.88,2079.36,2079.36
19305 00,Surgery,34.63,34.63,2493.36,2493.36
19306 00,Surgery,36.80,36.80,2649.60,2649.60
19307 00,Surgery,35.55,35.55,2559.60,2559.60
19316 00,Surgery,23.86,23.86,1717.92,1717.92
19318 00,Surgery,32.83,32.83,2363.76,2363.76
19325 00,Surgery,18.56,18.56,1336.32,1336.32
19328 00,Surgery,16.71,16.71,1203.12,1203.12
19330 00,Surgery,19.46,19.46,1401.12,1401.12
19340 00,Surgery,22.87,22.87,1646.64,1646.64
19342 00,Surgery,22.93,22.93,1650.96,1650.96
19350 00,Surgery,25.05,20.29,1803.60,1460.88
19355 00,Surgery,22.76,18.59,1638.72,1338.48
19357 00,Surgery,34.91,34.91,2513.52,2513.52
19361 00,Surgery,46.68,46.68,3360.96,3360.96
19364 00,Surgery,81.23,81.23,5848.56,5848.56
19367 00,Surgery,52.99,52.99,3815.28,3815.28
19368 00,Surgery,64.81,64.81,4666.32,4666.32
19369 00,Surgery,60.23,60.23,4336.56,4336.56
19370 00,Surgery,20.25,20.25,1458.00,1458.00
19371 00,Surgery,21.43,21.43,1542.96,1542.96
19380 00,Surgery,24.31,24.31,1750.32,1750.32
19396 00,Surgery,8.17,4.27,588.24,307.44
19499 00,Surgery,0.00,0.00,BR,BR
20100 00,Surgery,17.99,17.99,1295.28,1295.28
20101 00,Surgery,17.25,6.30,1242.00,453.60
20102 00,Surgery,18.40,7.71,1324.80,555.12
20103 00,Surgery,16.96,10.38,1221.12,747.36
20150 00,Surgery,30.28,30.28,2180.16,2180.16
20200 00,Surgery,6.50,2.86,468.00,205.92
20205 00,Surgery,9.15,4.66,658.80,335.52
20206 00,Surgery,6.55,1.69,471.60,121.68
20220 00,Surgery,6.93,2.57,498.96,185.04
20225 00,Surgery,11.32,3.81,815.04,274.32
20240 00,Surgery,4.18,4.18,300.96,300.96
20245 00,Surgery,10.25,10.25,738.00,738.00
20250 00,Surgery,11.84,11.84,852.48,852.48
20251 00,Surgery,12.66,12.66,911.52,911.52
20500 00,Surgery,3.73,2.69,268.56,193.68
20501 00,Surgery,4.23,1.07,304.56,77.04
20520 00,Surgery,6.58,4.47,473.76,321.84
20525 00,Surgery,13.95,7.45,1004.40,536.40
20526 00,Surgery,2.48,1.70,178.56,122.40
20527 00,Surgery,2.64,1.97,190.08,141.84
20550 00,Surgery,1.74,1.16,125.28,83.52
20551 00,Surgery,1.73,1.15,124.56,82.80
20552 00,Surgery,1.58,1.10,113.76,79.20
20553 00,Surgery,1.82,1.25,131.04,90.00
20555 00,Surgery,10.00,10.00,720.00,720.00
20560 00,Surgery,0.77,0.44,55.44,31.68
20561 00,Surgery,1.11,0.66,79.92,47.52
20600 00,Surgery,1.62,1.07,116.64,77.04
20604 00,Surgery,2.49,1.36,179.28,97.92
20605 00,Surgery,1.66,1.10,119.52,79.20
20606 00,Surgery,2.71,1.55,195.12,111.60
20610 00,Surgery,1.96,1.36,141.12,97.92
20611 00,Surgery,2.99,1.76,215.28,126.72
20612 00,Surgery,1.96,1.23,141.12,88.56
20615 00,Surgery,7.67,4.90,552.24,352.80
20650 00,Surgery,7.01,5.06,504.72,364.32
20660 00,Surgery,7.20,7.20,518.40,518.40
20661 00,Surgery,16.06,16.06,1156.32,1156.32
20662 00,Surgery,15.92,15.92,1146.24,1146.24
20663 00,Surgery,14.71,14.71,1059.12,1059.12
20664 00,Surgery,27.23,27.23,1960.56,1960.56
20665 00,Surgery,3.55,2.94,255.60,211.68
20670 00,Surgery,10.68,4.38,768.96,315.36
20680 00,Surgery,18.11,12.71,1303.92,915.12
20690 00,Surgery,18.04,18.04,1298.88,1298.88
20692 00,Surgery,34.09,34.09,2454.48,2454.48
20693 00,Surgery,13.58,13.58,977.76,977.76
20694 00,Surgery,13.10,10.42,943.20,750.24
20696 00,Surgery,35.09,35.09,2526.48,2526.48
20697 00,Surgery,53.10,53.10,3823.20,3823.20
20700 00,Surgery,2.52,2.52,181.44,181.44
20701 00,Surgery,1.91,1.91,137.52,137.52
20702 00,Surgery,4.24,4.24,305.28,305.28
20703 00,Surgery,3.10,3.10,223.20,223.20
20704 00,Surgery,4.46,4.46,321.12,321.12
20705 00,Surgery,3.69,3.69,265.68,265.68
20802 00,Surgery,82.20,82.20,5918.40,5918.40
20805 00,Surgery,97.57,97.57,7025.04,7025.04
20808 00,Surgery,117.64,117.64,8470.08,8470.08
20816 00,Surgery,61.54,61.54,4430.88,4430.88
20822 00,Surgery,53.24,53.24,3833.28,3833.28
20824 00,Surgery,61.66,61.66,4439.52,4439.52
20827 00,Surgery,54.65,54.65,3934.80,3934.80
20838 00,Surgery,83.42,83.42,6006.24,6006.24
20900 00,Surgery,11.56,5.39,832.32,388.08
20902 00,Surgery,8.22,8.22,591.84,591.84
20910 00,Surgery,14.55,14.55,1047.60,1047.60
20912 00,Surgery,14.62,14.62,1052.64,1052.64
20920 00,Surgery,12.13,12.13,873.36,873.36
20922 00,Surgery,18.63,15.11,1341.36,1087.92
20924 00,Surgery,15.32,15.32,1103.04,1103.04
20930 00,Surgery,-,-,534.96,491.76
20931 00,Surgery,3.30,3.30,237.60,237.60
20932 00,Surgery,22.43,22.43,1614.96,1614.96
20933 00,Surgery,20.57,20.57,1481.04,1481.04
20934 00,Surgery,22.41,22.41,1613.52,1613.52
20936 00,Surgery,-,-,707.04,650.88
20937 00,Surgery,4.98,4.98,358.56,358.56
20938 00,Surgery,5.49,5.49,395.28,395.28
20939 00,Surgery,2.08,2.08,149.76,149.76
20950 00,Surgery,7.96,2.66,573.12,191.52
20955 00,Surgery,73.00,73.00,5256.00,5256.00
20956 00,Surgery,79.03,79.03,5690.16,5690.16
20957 00,Surgery,82.35,82.35,5929.20,5929.20
20962 00,Surgery,80.13,80.13,5769.36,5769.36
20969 00,Surgery,81.12,81.12,5840.64,5840.64
20970 00,Surgery,85.25,85.25,6138.00,6138.00
20972 00,Surgery,85.00,85.00,6120.00,6120.00
20973 00,Surgery,89.77,89.77,6463.44,6463.44
20974 00,Surgery,2.53,1.54,182.16,110.88
20975 00,Surgery,5.29,5.29,380.88,380.88
